Origen de la base;Código de partido (Según INDEC);Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad agrupada;Sexo;Clase de Víctima;Vehículo Víctima;Tipo de Lugar;Modo de Producción del Hecho;
Ministerio de Seguridad;756;18/08/2017;8;23:45;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Autopista Nacional;Sin determinar;
Ministerio de Seguridad;861;26/08/2017;8;00:00;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;749;04/09/2017;9;00:00;Nocturno;55 - 64;Varón;Conductor;Sin determinar;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;756;06/09/2017;9;03:03;Nocturno;25 - 34;Varón;Conductor;Automóvil;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;756;10/09/2017;9;11:20;Diurno;15 - 24;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;756;12/09/2017;9;19:10;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Autopista Nacional;Sin determinar;
Ministerio de Seguridad;805;18/09/2017;9;02:00;Nocturno;35 - 44;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;805;11/10/2017;10;08:45;Diurno;Sin determinar;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;861;14/10/2017;10;18:50;Diurno;15 - 24;Mujer;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;805;17/10/2017;10;12:10;Diurno;25 - 34;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;805;21/10/2017;10;05:15;Nocturno;15 - 24;Mujer;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;805;21/10/2017;10;05:15;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;805;20/10/2017;10;23:30;Nocturno;15 - 24;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;861;29/10/2017;10;09:00;Diurno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;805;11/11/2017;11;16:18;Diurno;65 - 74;Mujer;Sin determinar;Automóvil;Autopista Nacional;Vuelco / despiste;
Ministerio de Seguridad;805;14/11/2017;11;00:00;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;805;20/11/2017;11;00:00;Nocturno;Sin determinar;Varón;Peatón;Peatón;Autopista Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;805;03/12/2017;12;21:45;Nocturno;65 - 74;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;749;01/12/2017;12;12:00;Diurno;65 - 74;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;756;08/12/2017;12;00:40;Nocturno;25 - 34;Mujer;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;756;07/12/2017;12;13:26;Diurno;45 - 54;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;749;21/12/2017;12;00:00;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;749;25/12/2017;12;00:00;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;01/01/2017;1;08:00;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;11/01/2017;1;19:10;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;371;04/02/2017;2;18:50;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;05/02/2017;2;17:00;Diurno;75 y más;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;371;06/03/2017;3;21:31;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;24/03/2017;3;18:50;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;25/03/2017;3;23:10;Nocturno;25 - 34;Varón;Sin determinar;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;840;26/03/2017;3;00:50;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;371;01/04/2017;4;15:17;Diurno;35 - 44;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;840;16/04/2017;4;05:15;Nocturno;45 - 54;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;840;30/04/2017;4;11:30;Diurno;65 - 74;Varón;Conductor;Bicicleta;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;840;16/05/2017;5;09:15;Diurno;45 - 54;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;371;25/07/2017;7;18:00;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;06/08/2017;8;22:40;Nocturno;0 - 4;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;371;12/08/2017;8;00:10;Nocturno;65 - 74;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;840;18/08/2017;8;17:20;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;27/08/2017;8;05:40;Nocturno;25 - 34;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;840;06/10/2017;10;20:10;Nocturno;15 - 24;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;840;26/10/2017;10;17:30;Diurno;35 - 44;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;840;31/10/2017;10;00:00;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;371;31/10/2017;10;00:00;Nocturno;45 - 54;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;840;02/11/2017;11;18:30;Diurno;65 - 74;Varón;Conductor;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;840;09/11/2017;11;13:00;Diurno;25 - 34;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;371;12/12/2017;12;00:00;Nocturno;Sin determinar;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;371;24/12/2017;12;00:55;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;371;24/12/2017;12;02:30;Nocturno;45 - 54;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;638;19/01/2017;1;05:45;Nocturno;Sin determinar;Varón;Conductor;Sin determinar;Autopista Nacional;Sin determinar;
Ministerio de Seguridad;638;28/01/2017;1;21:30;Nocturno;45 - 54;Varón;Conductor;Sin determinar;Autopista Nacional;Sin determinar;
Ministerio de Seguridad;638;05/02/2017;2;12:50;Diurno;65 - 74;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;760;22/02/2017;2;19:00;Diurno;65 - 74;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;638;25/02/2017;2;19:30;Nocturno;65 - 74;Varón;Sin determinar;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;515;23/02/2017;2;10:30;Diurno;75 y más;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;515;17/03/2017;3;23:00;Nocturno;55 - 64;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;515;17/03/2017;3;13:10;Diurno;Sin determinar;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;638;30/03/2017;3;11:11;Diurno;Sin determinar;Varón;Sin determinar;Sin determinar;Ruta Provincial;Sin determinar;
Ministerio de Seguridad;412;01/04/2017;4;20:00;Nocturno;55 - 64;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;638;05/04/2017;4;06:40;Nocturno;55 - 64;Varón;Conductor;Sin determinar;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;05/04/2017;4;15:45;Diurno;75 y más;Mujer;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;515;09/04/2017;4;07:30;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;515;18/04/2017;4;09:10;Diurno;75 y más;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;515;21/04/2017;4;23:57;Nocturno;25 - 34;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;24/04/2017;4;04:20;Nocturno;15 - 24;Mujer;Conductor;Sin determinar;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;412;21/04/2017;4;06:40;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;515;14/05/2017;5;04:00;Nocturno;Sin determinar;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;06/06/2017;6;01:15;Nocturno;Sin determinar;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;515;11/06/2017;6;08:30;Diurno;15 - 24;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;412;12/06/2017;6;11:11;Diurno;Sin determinar;Mujer;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;515;26/06/2017;6;06:00;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;760;26/06/2017;6;17:00;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;30/06/2017;6;12:38;Diurno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;02/07/2017;7;00:15;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;515;16/07/2017;7;10:45;Diurno;45 - 54;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;16/07/2017;7;03:30;Nocturno;35 - 44;Varón;Sin determinar;Sin determinar;Ruta Nacional;Sin determinar;
Ministerio de Seguridad;638;26/07/2017;7;18:30;Diurno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;515;30/07/2017;7;21:00;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;04/08/2017;8;09:50;Diurno;25 - 34;Varón;Sin determinar;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;638;09/08/2017;8;06:30;Nocturno;Sin determinar;Varón;Sin determinar;Sin determinar;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;09/08/2017;8;06:30;Nocturno;35 - 44;Varón;Sin determinar;Sin determinar;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;09/08/2017;8;06:30;Nocturno;Sin determinar;Varón;Sin determinar;Sin determinar;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;09/08/2017;8;06:30;Nocturno;Sin determinar;Varón;Sin determinar;Sin determinar;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;07/08/2017;8;__:__;Sin determinar;0 - 4;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;760;01/09/2017;9;21:05;Nocturno;15 - 24;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;515;08/09/2017;9;11:11;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;09/09/2017;9;03:10;Nocturno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;07/09/2017;9;09:20;Diurno;75 y más;Mujer;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;515;14/09/2017;9;10:30;Diurno;Sin determinar;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;760;17/09/2017;9;09:30;Diurno;35 - 44;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;638;23/09/2017;9;17:30;Diurno;45 - 54;Varón;Conductor;Automóvil;Calle;Vuelco / despiste;
Ministerio de Seguridad;638;20/09/2017;9;19:50;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;760;24/09/2017;9;15:50;Diurno;45 - 54;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;05/10/2017;10;16:00;Diurno;25 - 34;Mujer;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;412;01/10/2017;10;14:30;Diurno;15 - 24;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;638;08/10/2017;10;10:00;Diurno;65 - 74;Mujer;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;515;07/10/2017;10;00:10;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;412;15/10/2017;10;19:15;Nocturno;15 - 24;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;638;23/10/2017;10;12:00;Diurno;55 - 64;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;29/10/2017;10;07:50;Diurno;15 - 24;Varón;Conductor;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;760;01/11/2017;11;19:05;Nocturno;55 - 64;Varón;Conductor;Camioneta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;01/11/2017;11;11:11;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;02/11/2017;11;18:15;Diurno;15 - 24;Mujer;Peatón;Peatón;Sin determinar;Colisión vehículo / persona;
Ministerio de Seguridad;412;05/11/2017;11;03:30;Nocturno;15 - 24;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;412;27/11/2017;11;12:45;Diurno;65 - 74;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;412;28/11/2017;11;21:50;Nocturno;35 - 44;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;412;10/12/2017;12;09:40;Diurno;75 y más;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;638;10/12/2017;12;06:50;Nocturno;35 - 44;Varón;Sin determinar;Sin determinar;Ruta Nacional;Sin determinar;
Ministerio de Seguridad;760;13/12/2017;12;08:20;Diurno;55 - 64;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;412;14/12/2017;12;10:25;Diurno;25 - 34;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;760;13/12/2017;12;03:20;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;638;16/12/2017;12;21:00;Nocturno;35 - 44;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;638;30/12/2017;12;20:00;Nocturno;0 - 4;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;560;03/01/2017;1;20:00;Nocturno;55 - 64;Varón;Conductor;Sin determinar;Ruta Provincial;Sin determinar;
Ministerio de Seguridad;560;22/01/2017;1;20:00;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;22/01/2017;1;20:00;Nocturno;15 - 24;Varón;Sin determinar;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;12/02/2017;2;05:00;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;560;04/03/2017;3;20:00;Nocturno;15 - 24;Varón;Conductor;Bicicleta;Calle;Sin determinar;
Ministerio de Seguridad;560;06/03/2017;3;16:00;Diurno;75 y más;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;560;22/03/2017;3;12:00;Diurno;35 - 44;Varón;Conductor;Sin determinar;Ruta Provincial;Sin determinar;
Ministerio de Seguridad;364;23/03/2017;3;02:00;Nocturno;35 - 44;Varón;Conductor;Camioneta;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;560;04/04/2017;4;21:00;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;04/05/2017;5;10:00;Diurno;65 - 74;Mujer;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;03/06/2017;6;15:00;Diurno;35 - 44;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;560;08/07/2017;7;05:10;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;560;18/07/2017;7;06:50;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;560;24/07/2017;7;22:00;Nocturno;25 - 34;Varón;Conductor;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;560;12/08/2017;8;03:30;Nocturno;25 - 34;Varón;Sin determinar;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;20/08/2017;8;00:40;Nocturno;15 - 24;Varón;Sin determinar;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;21/08/2017;8;07:00;Nocturno;15 - 24;Varón;Acompañante;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;560;23/08/2017;8;14:00;Diurno;55 - 64;Varón;Conductor;Bicicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;23/08/2017;8;16:30;Diurno;65 - 74;Mujer;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;364;29/08/2017;8;05:30;Nocturno;25 - 34;Varón;Sin determinar;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;02/09/2017;9;04:00;Nocturno;45 - 54;Varón;Conductor;Sin determinar;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;07/09/2017;9;20:30;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;22/09/2017;9;23:50;Nocturno;0 - 4;Varón;Acompañante;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;560;24/09/2017;9;19:15;Nocturno;65 - 74;Varón;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;560;29/09/2017;9;09:00;Diurno;45 - 54;Varón;Conductor;Motocicleta;Autopista Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;560;12/11/2017;11;21:00;Nocturno;55 - 64;Varón;Conductor;Bicicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;31/10/2017;10;19:20;Nocturno;25 - 34;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;560;02/11/2017;11;03:30;Nocturno;25 - 34;Varón;Acompañante;Sin determinar;Calle;Otro modo;
Ministerio de Seguridad;560;01/11/2017;11;21:30;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;560;12/11/2017;11;00:05;Nocturno;25 - 34;Mujer;Peatón;Peatón;Ruta Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;560;15/11/2017;11;23:45;Nocturno;15 - 24;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;364;01/12/2017;12;23:40;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;364;01/12/2017;12;23:40;Nocturno;25 - 34;Varón;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;560;06/12/2017;12;21:50;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;09/12/2017;12;15:30;Diurno;15 - 24;Mujer;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;560;10/12/2017;12;20:15;Nocturno;55 - 64;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;560;17/12/2017;12;17:30;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;364;25/12/2017;12;17:00;Diurno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;568;25/01/2017;1;12:45;Diurno;65 - 74;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;29/01/2017;1;11:50;Diurno;75 y más;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;568;12/02/2017;2;06:00;Nocturno;15 - 24;Varón;Peatón;Peatón;Autopista Provincial;Colisión vehículo / persona;
Ministerio de Seguridad;568;23/03/2017;3;11:30;Diurno;25 - 34;Varón;Sin determinar;Sin determinar;Sin determinar;Colisión vehículo / persona;
Ministerio de Seguridad;408;13/04/2017;4;09:20;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;410;02/05/2017;5;14:50;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;410;09/05/2017;5;16:15;Diurno;Sin determinar;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;11/05/2017;5;22:00;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;410;03/06/2017;6;07:30;Diurno;Sin determinar;Varón;Acompañante;Sin determinar;Calle;Vuelco / despiste;
Ministerio de Seguridad;568;14/06/2017;6;16:15;Diurno;45 - 54;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;410;25/06/2017;6;09:00;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;29/06/2017;6;04:30;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Sin determinar;
Ministerio de Seguridad;568;08/07/2017;7;02:00;Nocturno;35 - 44;Mujer;Acompañante;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;568;09/07/2017;7;01:00;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;26/07/2017;7;10:30;Diurno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;17/08/2017;8;05:20;Nocturno;35 - 44;Varón;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;568;18/08/2017;8;10:30;Diurno;Sin determinar;Mujer;Sin determinar;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;20/08/2017;8;07:10;Diurno;15 - 24;Mujer;Sin determinar;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;26/08/2017;8;01:20;Nocturno;25 - 34;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;568;07/09/2017;9;11:45;Diurno;15 - 24;Varón;Sin determinar;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;410;20/09/2017;9;10:13;Diurno;55 - 64;Mujer;Conductor;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;408;05/10/2017;10;17:00;Diurno;35 - 44;Varón;Conductor;Camión;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;03/10/2017;10;20:00;Nocturno;Sin determinar;Mujer;Peatón;Peatón;Calle;Colisión vehículo / persona;
Ministerio de Seguridad;568;23/10/2017;10;01:30;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;410;29/10/2017;10;05:16;Nocturno;Sin determinar;Varón;Sin determinar;Motocicleta;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;410;29/10/2017;10;05:16;Nocturno;35 - 44;Varón;Sin determinar;Motocicleta;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;408;02/11/2017;11;22:15;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;408;06/11/2017;11;06:50;Nocturno;55 - 64;Varón;Acompañante;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;27/11/2017;11;05:00;Nocturno;15 - 24;Varón;Acompañante;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;28/11/2017;11;18:50;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;410;03/12/2017;12;06:45;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Calle;Vuelco / despiste;
Ministerio de Seguridad;568;10/12/2017;12;18:30;Diurno;55 - 64;Varón;Conductor;Automóvil;Calle;Colisión vehículo / objeto;
Ministerio de Seguridad;568;10/12/2017;12;09:15;Diurno;5 - 14;Varón;Acompañante;Sin determinar;Calle;Sin determinar;
Ministerio de Seguridad;410;18/12/2017;12;11:30;Diurno;25 - 34;Mujer;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;23/12/2017;12;05:00;Nocturno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;568;23/12/2017;12;06:00;Nocturno;25 - 34;Varón;Conductor;Automóvil;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;427;12/01/2017;1;19:00;Diurno;15 - 24;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;427;25/01/2017;1;23:40;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;427;29/01/2017;1;17:00;Diurno;25 - 34;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
Ministerio de Seguridad;427;28/01/2017;1;21:00;Nocturno;55 - 64;Varón;Conductor;Motocicleta;Calle;Colisión vehículo / vehículo;
